@RELATION COMPLETE

@ATTRIBUTE mutationId NUMERIC
@ATTRIBUTE elementId NUMERIC
@ATTRIBUTE displayed {0,1}
@ATTRIBUTE height NUMERIC
@ATTRIBUTE width NUMERIC
@ATTRIBUTE top NUMERIC
@ATTRIBUTE left NUMERIC
@ATTRIBUTE activatorTop NUMERIC
@ATTRIBUTE activatorLeft NUMERIC
@ATTRIBUTE distanceTop NUMERIC
@ATTRIBUTE distanceLeft NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE numberElements NUMERIC
@ATTRIBUTE elements_per_size NUMERIC
@ATTRIBUTE numberWords NUMERIC
@ATTRIBUTE textNodes NUMERIC
@ATTRIBUTE words_per_textNodes NUMERIC
@ATTRIBUTE table {0,1}
@ATTRIBUTE list {0,1}
@ATTRIBUTE input {0,1}
@ATTRIBUTE widgetName {0,1}
@ATTRIBUTE date {0,1}
@ATTRIBUTE img {0,1}
@ATTRIBUTE proportionNumbers NUMERIC
@ATTRIBUTE links80percent NUMERIC
@ATTRIBUTE Result {0,1}

@DATA
0,3,1,312,659,75,442,37,462,2,79,-2,323,0.0065351542741527600,1121,236,4.75,0,1,0,1,0,0,0.0,0,1
1,0,1,1256,220,97,661,96,442,30,-1,-1,32,0.0014995313964386100,18,11,1.6363636364,0,0,0,1,0,0,0.0,0,1
2,1,1,1256,220,97,661,127,442,61,-1,-1,31,0.0014526710402999100,21,11,1.9090909091,0,0,0,1,0,0,0.0,0,1
3,1,1,1256,220,97,661,158,442,92,-1,-1,31,0.0014526710402999100,22,11,2,0,0,0,1,0,0,0.0,0,1
4,3,1,1234,220,97,661,189,442,123,-1,-1,28,0.0013120899718837900,25,10,2.5,0,0,0,1,0,0,0.0,0,1
5,1,1,1256,220,97,661,220,442,154,-1,-1,31,0.0014526710402999100,22,11,2,0,0,0,1,0,0,0.0,0,1
6,7,1,300,659,75,501,37,521,2,80,-2,287,0.0058067779463834100,1004,222,4.5225225225,0,1,0,1,0,0,0.0,0,1
7,24,1,1256,220,97,720,96,501,30,-1,-1,32,0.0014995313964386100,24,11,2.1818181818,0,0,0,1,0,0,0.0,0,1
8,25,1,1102,220,97,720,127,501,61,-1,-1,10,0.0004686035613870670,5,4,1.25,0,0,0,1,0,0,0.0,0,1
9,25,1,1058,220,97,720,158,501,92,-1,-1,4,0.0001874414245548270,2,2,1,0,0,0,1,0,0,0.0,0,1
22,1197,0,465,999,0,0,739,347,770,557,-557,157,0.0000000000000000000,93,93,1,0,0,0,0,0,1,0.0,0,0
22,1201,1,35,83,325,1369,739,347,445,-812,-445,0,0.0000000000000000000,0,0,0,0,0,0,0,0,0,0.0,0,0
22,1203,1,35,83,325,1453,739,347,445,-896,-445,0,0.0000000000000000000,0,0,0,0,0,0,0,0,0,0.0,0,0
22,1205,1,35,83,361,1369,739,347,409,-812,-409,0,0.0000000000000000000,0,0,0,0,0,0,0,0,0,0.0,0,0
22,1207,1,35,83,361,1453,739,347,409,-896,-409,0,0.0000000000000000000,0,0,0,0,0,0,0,0,0,0.0,0,0
22,1209,1,35,83,397,1369,739,347,373,-812,-373,0,0.0000000000000000000,0,0,0,0,0,0,0,0,0,0.0,0,0
22,1211,1,35,83,397,1453,739,347,373,-896,-373,0,0.0000000000000000000,0,0,0,0,0,0,0,0,0,0.0,0,0
22,1213,1,35,83,433,1369,739,347,337,-812,-337,0,0.0000000000000000000,0,0,0,0,0,0,0,0,0,0.0,0,0
22,1215,1,35,83,433,1453,739,347,337,-896,-337,0,0.0000000000000000000,0,0,0,0,0,0,0,0,0,0.0,0,0
22,1217,1,134,168,478,1368,739,347,292,-811,-292,0,0.0000000000000000000,0,0,0,0,0,0,0,0,0,0.0,0,0
22,1219,1,134,168,613,1368,739,347,157,-811,-157,0,0.0000000000000000000,0,0,0,0,0,0,0,0,0,0.0,0,0
